id,question,artist,song
62,https://www.youtube.com/watch?v=LjhCEhWiKXk&t=15,Bruno Mars,Just The Way You Are
63,https://www.youtube.com/watch?v=KNtJGQkC-WI&t=54,Ariana Grande,we can't be friends
64,https://www.youtube.com/watch?v=gl1aHhXnN1k&t=39,Ariana Grande,thank u next
65,https://www.youtube.com/watch?v=QYh6mYIJG2Y,Ariana Grande,7 rings
67,https://www.youtube.com/watch?v=KwRxeZ9Ro24&t=118,Ariana Grande,the boy is mine
68,https://www.youtube.com/watch?v=SXiSVQZLje8,Ariana Grande ft. Nicki Minaj,Side To Side
69,https://www.youtube.com/watch?v=tcYodQoapMg,Ariana Grande,positions
70,https://www.youtube.com/watch?v=B6_iQvaIjXw,Ariana Grande,34+35
72,https://www.youtube.com/watch?v=1ekZEVeXwek,Ariana Grande,Into You
74,https://www.youtube.com/watch?v=LH-i8IvYIcg&t=17,The Offspring,Why Don't You Get A Job
75,https://www.youtube.com/watch?v=QtTR-_Klcq8,The Offspring,Pretty Fly
80,https://www.youtube.com/watch?v=Abrn8aVQ76Q&t=4,The Offspring,Self Esteem
82,https://www.youtube.com/watch?v=AfSjnsYiY_A&t=98,Chappell Roan,Casual
83,https://www.youtube.com/watch?v=GR3Liudev18&t=23,Chappell Roan,Pink Pony Club
84,https://www.youtube.com/watch?v=ePsqyPMIg6I&t=12,Chappell Roan,My Kink is Karma
85,https://www.youtube.com/watch?v=VS6ixn2berk&t=10,Chappell Roan,Red Wine Supernova
86,https://www.youtube.com/watch?v=Oa_RSwwpPaA,Benson Boone,Beautiful Things
87,https://www.youtube.com/watch?v=uLK2r3sG4lE,Tyla,PUSH 2 START
88,https://www.youtube.com/watch?v=gQlMMD8auMs,BLACKPINK,Pink Venom
89,https://www.youtube.com/watch?v=ioNng23DkIM,BLACKPINK,How You Like That
90,https://www.youtube.com/watch?v=2S24-y0Ij3Y,BLACKPINK,Kill This Love
91,https://www.youtube.com/watch?v=bB3-CUMERIU,JENNIE,Mantra
92,https://www.youtube.com/watch?v=POe9SOEKotk,BLACKPINK,Shut Down
93,https://www.youtube.com/watch?v=vRXZj0DzXIA,BLACKPINK,Ice Cream
94,https://www.youtube.com/watch?v=dyRsYk0LyA8,BLACKPINK,Lovesick Girls
95,https://www.youtube.com/watch?v=v08qmr8m_-w,Imagine Dragons,Eyes Closed
96,https://www.youtube.com/watch?v=7wtfhZwyrcc,Imagine Dragons,Believer
97,https://www.youtube.com/watch?v=TO-_3tck2tg,Imagine Dragons,Bones
98,https://www.youtube.com/watch?v=Te3_VlimRw0,Imagine Dragons,Sharks
99,https://www.youtube.com/watch?v=ktvTqknDobU&t=34,Imagine Dragons,Radioactive
100,https://www.youtube.com/watch?v=fKopy74weus&t=22,Imagine Dragons,Thunder
101,https://www.youtube.com/watch?v=mWRsgZuwf_8&t=11,Imagine Dragons,Demons
102,https://www.youtube.com/watch?v=q392mSz4VeY,Imagine Dragons,Wake Up
103,https://www.youtube.com/watch?v=gOsM-DYAEhY,Imagine Dragons,Whatever It Takes
104,https://www.youtube.com/watch?v=I-QfPUz1es8&t=28,Imagine Dragons,Bad Liar
105,https://www.youtube.com/watch?v=TdrL3QxjyVw&t=16,Lana Del Rey,Summertime Sadness
106,https://www.youtube.com/watch?v=vBHild0PiTE&t=15,Lana Del Rey,Chemtrails Over The Country Club
107,https://www.youtube.com/watch?v=F4ELqraXx-U&t=10,Lana Del Rey,White Mustang
108,https://www.youtube.com/watch?v=Bag1gUxuU0g,Lana Del Rey,Born To Die
109,https://www.youtube.com/watch?v=o_1aF54DO60,Lana Del Rey,Young and Beautiful
110,https://www.youtube.com/watch?v=Py_-3di1yx0&t=206,Lana Del Rey,Ride
111,https://www.youtube.com/watch?v=ZFWC4SiZBao,Lana Del Rey,Ultraviolence
112,https://www.youtube.com/watch?v=qolmz4FlnZ0,Lana Del Rey,Doin' Time
113,https://www.youtube.com/watch?v=QnxpHIl5Ynw&t=25,Lana Del Rey,High By The Beach
114,https://www.youtube.com/watch?v=H5v3kku4y6Q&t=4,Harry Styles,As It Was
115,https://www.youtube.com/watch?v=P3cffdsEXXw,Harry Styles,Golden
116,https://www.youtube.com/watch?v=9NZvM1918_E,Harry Styles,Lights Up
117,https://www.youtube.com/watch?v=qN4ooNx77u0,Harry Styles,Sign of the Times
119,https://www.youtube.com/watch?v=-UJCMfuFtSQ,Harry Styles,Daylight
120,https://www.youtube.com/watch?v=E07s5ZYygMg&t=10,Harry Styles,Watermelon Sugar
121,https://www.youtube.com/watch?v=olGSAVOkkTI,Harry Styles,Falling
122,https://www.youtube.com/watch?v=VF-r5TtlT9w,Harry Styles,Adore You
123,https://www.youtube.com/watch?v=L0X03zR0rQk,Harry Styles,Treat People With Kindness
134,https://www.youtube.com/watch?v=ViwtNLUqkMY,Beyonce ft. JAY Z,Crazy In Love
136,https://www.youtube.com/watch?v=ycwtqqhV6UE,Beyonce,TEXAS HOLD EM
137,https://www.youtube.com/watch?v=pZ12_E5R3qc&t=27,Beyonce,Partition
140,https://www.youtube.com/watch?v=k4YRWT_Aldo,Beyonce,7/11
141,https://www.youtube.com/watch?v=4m1EFMoRFvY,Beyonce,Single Ladies
143,https://www.youtube.com/watch?v=TR3Vdo5etCQ&t=30,No Doubt,Don't Speak
144,https://www.youtube.com/watch?v=PHzOOQfhPFg,No Doubt,Just A Girl
145,https://www.youtube.com/watch?v=ubvV498pyIM,No Doubt,It's My Life
146,https://www.youtube.com/watch?v=QtTj4cramPM&t=3,No Doubt,Hella Good
147,https://www.youtube.com/watch?v=6ZktNItwexo&t=8,No Doubt,Spiderwebs
148,https://www.youtube.com/watch?v=wt1YkGO2Ieo,No Doubt,Hey Baby
149,https://www.youtube.com/watch?v=2kjolTLZ_Mg,The Weeknd ft. Anitta,Sao Paulo
150,https://www.youtube.com/watch?v=MLlSSJ0z7xM,The Weeknd,Dancing In The Flames
151,https://www.youtube.com/watch?v=5EpyN_6dqyk,The Weeknd & Playboi Carti,Timeless
152,https://www.youtube.com/watch?v=XXYlFuWEuKI,The Weeknd,Save Your Tears
153,https://www.youtube.com/watch?v=4NRXx6U8ABQ&t=33,The Weeknd,Blinding Lights
154,https://www.youtube.com/watch?v=Mx92lTYxrJQ&t=14,The Weeknd & JENNIE & Lily-Rose Depp,One Of The Girls
155,https://www.youtube.com/watch?v=CW5oGRx9CLM&t=14,The Weeknd,False Alarm
159,https://www.youtube.com/watch?v=mRD0-GxqHVo,Glass Animals,Heat Waves
164,https://www.youtube.com/watch?v=RqHbD1i4NF4,Glass Animals,Creatures in Heaven
168,https://www.youtube.com/watch?v=4kGvlESGvbs&t=33,Jennifer Lopez,Love Don't Cost a Thing
169,https://www.youtube.com/watch?v=6XbIuSLaCnk&t=58,Jennifer Lopez,Papi
170,https://www.youtube.com/watch?v=nxtIRArhVD4&t=28,Jennifer Lopez ft. Iggy Azalea,Booty
171,https://www.youtube.com/watch?v=t4H_Zoh7G5A&t=18,Jennifer Lopez ft. Pitbull,On The Floor
172,https://www.youtube.com/watch?v=GSLSwwkLRW0,Jennifer Lopez,Ain't It Funny
174,https://www.youtube.com/watch?v=Orp7aj1w8Eg,Jennifer Lopez,Rebound
175,https://www.youtube.com/watch?v=Pgmx7z49OEk&t=125,Jennifer Lopez,Ain't Your Mama
176,https://www.youtube.com/watch?v=2Vv-BfVoq4g&t=20,Ed Sheeran,Perfect
177,https://www.youtube.com/watch?v=lp-EO5I60KA,Ed Sheeran,Thinking Out Loud
178,https://www.youtube.com/watch?v=JGwWNGJdvx8,Ed Sheeran,Shape of You
179,https://www.youtube.com/watch?v=orJSJGHjBLI&t=5,Ed Sheeran,Bad Habits
180,https://www.youtube.com/watch?v=nBCkXe3ZfoI,Ed Sheeran,Under the Tree
181,https://www.youtube.com/watch?v=Il0S8BoucSA,Ed Sheeran,Shivers
182,https://www.youtube.com/watch?v=nSDgHBxUbVQ,Ed Sheeran,Photograph
183,https://www.youtube.com/watch?v=K0ibBPhiaG0&t=24,Ed Sheeran,Castle On The Hill
184,https://www.youtube.com/watch?v=c4BLVznuWnU&t=14,Ed Sheeran,Lego House
185,https://www.youtube.com/watch?v=iWZmdoY1aTE,Ed Sheeran,Happier
187,https://www.youtube.com/watch?v=DUT5rEU6pqM,Shakira ft. Wyclef Jean,Hips Don't Lie
